Kod,Avg-Mark_Hist_11
1,3.86
2,3.79
3,4.5
4,4.56
5,3.27
6,3.65
7,4.71
8,4.38
9,3.73
10,4.63
11,4.27
12,4.29
13,3.62
14,4.07
15,4.19
16,3.58
17,4.24
18,3.07
19,4.56
20,4.28
21,4.09
22,4.48
23,4.05
24,4.73
25,4.47
26,4.19
27,3.77
28,4.33
29,3.39
30,3.56
31,4.36
32,4.18
33,3.67
34,4.53
35,4.54
36,4.6
37,4.54
38,3.84
39,4.27
40,4
41,4.22
42,4.29
43,4.15
44,3.5
45,4.06
46,4.48
47,4.67
48,3.57
49,3.85
50,4.35
51,3.82
52,4.33
53,4.45
54,4.23
55,4.05
56,4.29
57,3.76
58,4.27
59,4.16
60,3.93
61,4.27
62,4
63,3.45
64,4.32
65,3.71
66,4.25
67,4.05
68,4.12
69,3.33
70,3.64
71,4.59
72,4.76
73,4.24
74,4.59
75,4.41
76,4.1
77,3.86
78,3.69
79,3.5
80,4.2
81,4.67
82,5
83,4.28
84,3.91
85,4.29
86,3.5
87,4.43
88,3.65
89,3.33
90,4.15
91,4.73
92,4.65
93,4.36
94,4.09
95,3.64
96,4.77
97,3.73
98,3.79
99,4.52
100,4.05
101,3.8
102,3.5
103,3.38
104,4.1
105,4.4
106,4.67
107,4.5
108,3.67
109,4.13
110,3.96
111,3.96
112,4.19
113,4.33
114,3.63
115,4.6
116,3.74
117,4.65
118,3.67
119,3.64
120,3.67
121,4.04
122,4.38
123,4.52
124,4
125,3.81
126,3.48
127,3.31
128,4.56
129,4.28
130,4.38
131,4.13
132,4.43
133,4.6
134,4.74
135,4.43
136,4.38
137,4.17
138,4.5
139,4.25
140,4.4
141,3.52
142,3.74
143,3.7
144,4.28
145,4
146,4.2
147,3.48
148,4.07
149,4.59
150,4.46
151,4.39
152,4.29
153,4.18
154,4.54
155,4.3
156,4.38
157,3.86
158,4.59
159,3.89
160,3.95
161,3.82
162,3.33
163,4.06
164,4
165,3.89
166,4.06
167,4.29
168,3.59
169,3.91
170,4.85
171,4.31
172,3.82
173,4.39
174,4.32
175,4.74
176,4.41
177,4.13
178,3.5
179,4.06
180,4.09
181,4.89
182,4.86
183,4.42
184,3.71
185,3.83
186,4
187,3.96
188,4
189,3.1
190,4.46
191,4.17
192,4.12
193,4.5
194,3.73
195,4.06
196,4.13
197,4.13
198,4.35
199,4.13
200,4.64
201,4.1
202,4.15
203,4.2
204,3.33
205,4.12
206,3.89
207,3.89
208,4.09
209,4.09
210,3.79
211,3.79
212,3.89
213,3.89
214,4.5
215,4.5
216,4.21
217,4.21
218,3.53
219,3.76
220,3.5
221,4.33
222,3.75
223,4.45
224,4.17
225,3.59
226,4.48
227,4.6
228,4.18
229,4.43
230,4.25
231,4.47
232,4.48
233,4.9
234,4.85
235,4.05
236,3.39
237,4.53
238,4
239,4.05
240,4.2
241,4.38
242,3.46
243,3.46
244,4.06
245,4.06
246,4.2
247,4.13
248,3.56
249,3.69
250,4.25
251,3.77
252,4.44
253,3.33
254,3.64
255,4.6
256,4.25
257,4.13
258,4.48
259,4.32
260,3.95
261,4
262,4.5
263,4.6
264,3.86
265,4
266,4.35
267,4.18
268,3.79
269,3.96
270,3.62
271,3.59
272,3.81
273,4.05
274,3.67
275,3.67
276,3.46
277,3.67
278,3.17
279,4.29
280,4.38
281,4.08
282,4.28
283,4.08
284,4.7
285,4.12
286,4.05
287,3.85
288,4.86
289,4.62
290,4.43
291,4.38
292,4.25
293,3.39
294,4.19
295,4.29
296,4.56
297,4.37
298,4.42
299,4.58
300,4.2
301,4.12
302,3.94
303,4.17
304,3.44
305,3.64
306,4
307,3.64
308,4.64
309,3.74
310,4.53
311,4.54
312,4.33
313,4.42
314,3.78
315,3.4
316,3.79
317,4.04
318,4.38
319,4.78
